title,link,published,summary,processed_on,sentiment_label,sentiment_score
A Strategic Supper Trump engages corporate America for economic policy reset,https://economictimes.indiatimes.com/markets/stocks/news/a-strategic-supper-trump-engages-corporate-america-for-economic-policy-reset/slideshow/125266661.cms,"Wed, 12 Nov 2025 11:29:58 +0530",,2025-11-12,negative,-0.9999818205833435
ONGC shares rise 2 despite 18 drop in Q2 profit Check target price by Nomura Goldman Sachs,https://economictimes.indiatimes.com/markets/stocks/news/ongc-shares-rise-2-despite-18-drop-in-q2-profit-check-target-price-by-nomura-goldman-sachs/articleshow/125266312.cms,"Wed, 12 Nov 2025 11:16:54 +0530","ONGC shares rose up to 2.5% to Rs 255 on Wednesday despite an 18% YoY drop in Q2 profit to Rs 9,848 crore, weighed down by lower oil prices. Revenue slipped 2.5% to Rs 33,031 crore. The company announced an interim dividend of Rs 6 per share, with a total payout of Rs 7,548 crore.",2025-11-12,negative,-0.9962829947471619
PhysicsWallah IPO Day 2 Check GMP movement subscription update analyst insights and key highlights,https://economictimes.indiatimes.com/markets/ipos/fpos/physicswallah-ipo-day-2-check-gmp-movement-subscription-update-analyst-insights-and-key-highlights/articleshow/125266242.cms,"Wed, 12 Nov 2025 11:14:39 +0530","PhysicsWallah’s IPO grey market premium fell to 1.83%, down from 2.75%, over its issue price of ₹109 per share. The IPO remains open for subscription until November 13, with the stock slated to list on the NSE and BSE on November 18.",2025-11-12,neutral,-0.2833850383758545
End of government shutdown to boost consumer spending aid markets Geoff Dennis,https://economictimes.indiatimes.com/markets/expert-view/end-of-government-shutdown-to-boost-consumer-spending-aid-markets-geoff-dennis/articleshow/125266132.cms,"Wed, 12 Nov 2025 11:08:42 +0530","US equities show resilience as the government shutdown nears its end, prompting sector rotation out of technology. Investors are cautiously optimistic, but concerns over Fed rate cuts, labor market weakness, and high tech valuations, particularly for the Mag-7, are influencing market sentiment.",2025-11-12,neutral,-0.09238944947719574
Groww shares rally up to 11 after strong DStreet debut Should investors book profits now,https://economictimes.indiatimes.com/markets/stocks/news/groww-shares-rally-up-to-11-after-strong-d-street-debut-should-investors-book-profits-now/articleshow/125266133.cms,"Wed, 12 Nov 2025 11:07:54 +0530","Groww share price: Shares of Billionbrains Garage Ventures, the parent of investment platform Groww, extended gains post a strong debut, hitting an intraday high of Rs 124, up 24% from the IPO price of Rs 100. The stock listed at Rs 114 on the BSE and Rs 112 on the NSE",2025-11-12,neutral,-5.8499017541180365e-06
Parag Thakkar says HDFC ICICI offer better riskreward than highyield lenders,https://economictimes.indiatimes.com/markets/expert-view/parag-thakkar-says-hdfc-icici-offer-better-risk-reward-than-high-yield-lenders/articleshow/125265829.cms,"Wed, 12 Nov 2025 10:52:02 +0530","Market expert Parag Thakkar advises caution on high-yielding lenders like Bajaj Finance, preferring quality banks such as SBI, ICICI, and HDFC Bank due to their strong CASA franchise and better risk-reward. He highlights SBI's robust performance and attractive valuation as a preferred investment over Bajaj Finance.",2025-11-12,neutral,-5.304583510223893e-07
Infosys Rs 18000 cr buyback 10 things to know ahead of Nov 14 record date,https://economictimes.indiatimes.com/markets/stocks/news/infosys-rs-18000-cr-buyback-10-things-to-know-ahead-of-nov-14-record-date/slideshow/125266039.cms,"Wed, 12 Nov 2025 10:49:26 +0530","Infosys announced its largest-ever share buyback of Rs 18,000 crore, aiming to repurchase 10 crore equity shares at Rs 1,800 each. The record date for eligibility is November 14, 2025. Promoters have opted out, which will slightly increase their shareholding if fully subscribed.",2025-11-12,negative,-0.9972245097160339
Gold prices firm near Rs 124 lakh10g remain rangebound amid global uncertainty Which way will it move next,https://economictimes.indiatimes.com/markets/commodities/news/gold-prices-firm-near-rs-1-24-lakh/10g-remain-rangebound-amid-global-uncertainty-which-way-will-it-move-next/articleshow/125265634.cms,"Wed, 12 Nov 2025 10:38:56 +0530","Gold prices rose 0.29% to Rs 1,24,270 per 10 grams on MCX amid mixed global cues, supported by a weaker dollar and hopes of Fed rate cuts, though gains were limited by profit-booking and stronger equities. Silver also gained 0.51% to Rs 1,55,481 per kg as traders awaited key inflation data.",2025-11-12,positive,0.7884236574172974
Hitting it out of the park 10 small amp micro firms that clocked up to 700 profit growth in Q2,https://economictimes.indiatimes.com/markets/stocks/news/hitting-it-out-of-the-park-10-small-micro-firms-that-clocked-up-to-700-profit-growth-in-q2/slideshow/125265560.cms,"Wed, 12 Nov 2025 10:23:27 +0530","Several small and micro-cap companies delivered exceptional profit growth in the September quarter, with some exceeding 700% year-on-year. Despite market volatility and cost pressures, firms like ASM Technologies, Sambhv Steel, and Indosolar showcased robust revenue and profit surges, driven by factors such as capacity expansion and increased demand.",2025-11-12,neutral,-0.0006565608200617135
500 rally in 5 months 10 lower circuits and a mild rebound Should you ride the dizzying swings of Stallion India,https://economictimes.indiatimes.com/markets/stocks/news/500-rally-in-5-months-10-lower-circuits-and-a-mild-rebound-should-you-ride-the-dizzying-swings-of-stallion-india/articleshow/125265228.cms,"Wed, 12 Nov 2025 10:12:00 +0530","Stallion India Fluorochemicals experienced a dramatic 500% rally followed by a sharp 50% correction, marked by ten lower circuits. The stock is now showing tentative signs of recovery after profit booking and stretched valuations impacted its steep decline. The company operates in a niche, growing fluorochemicals market with expansion plans.",2025-11-12,neutral,0.005502322688698769
